song_title,composer,milliseconds,bytes
Yesterday To Tomorrow,"Cornell, Commerford, Morello, Wilk",273763,8944205
Dandelion,"Cornell, Commerford, Morello, Wilk",278125,9003592
#1 Zero,"Cornell, Commerford, Morello, Wilk",299102,9731988
The Curse,"Cornell, Commerford, Morello, Wilk",309786,10029406
Money,"Berry Gordy, Jr./Janie Bradford",147591,2365897
Long Tall Sally,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084
Bad Boy,Larry Williams,116088,1862126
Twist And Shout,Bert Russell/Phil Medley,161123,2582553
Please Mr. Postman,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett,137639,2206986
C'Mon Everybody,Eddie Cochran/Jerry Capehart,140199,2247846
Rock 'N' Roll Music,Chuck Berry,141923,2276788
Slow Down,Larry Williams,163265,2616981
Roadrunner,Bo Diddley,143595,2301989
Carol,Chuck Berry,143830,2306019
Good Golly Miss Molly,Little Richard,106266,1704918
20 Flight Rock,Ned Fairchild,107807,1299960
Quadrant,Billy Cobham,261851,8538199
Snoopy's search-Red baron,Billy Cobham,456071,15075616
"Spanish moss-""A sound portrait""-Spanish moss",Billy Cobham,248084,8217867
Moon germs,Billy Cobham,294060,9714812
Stratus,Billy Cobham,582086,19115680
The pleasant pheasant,Billy Cobham,318066,10630578
Solo-Panhandler,Billy Cobham,246151,8230661
Do what cha wanna,George Duke,274155,9018565
Intro/ Low Down,,323683,10642901
13 Years Of Grief,,246987,8137421
Stronger Than Death,,300747,9869647
All For You,,235833,7726948
Super Terrorizer,,319373,10513905
Phoney Smile Fake Hellos,,273606,9011701
Lost My Better Half,,284081,9355309
Bored To Tears,,247327,8130090
A.N.D.R.O.T.A.Z.,,266266,8574746
Born To Booze,,282122,9257358
World Of Trouble,,359157,11820932
No More Tears,,555075,18041629
The Begining... At Last,,365662,11965109
Heart Of Gold,,194873,6417460
Snowblind,,420022,13842549
Like A Bird,,276532,9115657
Blood In The Wall,,284368,9359475
The Beginning...At Last,,271960,8975814
Black Sabbath,,382066,12440200
The Wizard,,264829,8646737
Behind The Wall Of Sleep,,217573,7169049
N.I.B.,,368770,12029390
Evil Woman,,204930,6655170
Sleeping Village,,644571,21128525
Warning,,212062,6893363
Wheels Of Confusion / The Straightener,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",494524,16065830
Tomorrow's Dream,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",192496,6252071
Changes,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",286275,9175517
FX,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",103157,3331776
Supernaut,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",285779,9245971
Snowblind,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",331676,10813386
Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880
Laguna Sunrise,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",173087,5671374
St. Vitus Dance,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",149655,4884969
Under The Sun/Every Day Comes and Goes,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",350458,11360486
Smoked Pork,,47333,1549074
Body Count's In The House,,204251,6715413
Now Sports,,4884,161266
Body Count,,317936,10489139
A Statistic,,6373,211997
Bowels Of The Devil,,223216,7324125
The Real Problem,,11650,387360
KKK Bitch,,173008,5709631
D Note,,95738,3067064
Voodoo,,300721,9875962
The Winner Loses,,392254,12843821
There Goes The Neighborhood,,350171,11443471
Oprah,,6635,224313
Evil Dick,,239020,7828873
Body Count Anthem,,166426,5463690
Momma's Gotta Die Tonight,,371539,12122946
Freedom Of Speech,,281234,9337917
King In Crimson,Roy Z,283167,9218499
Chemical Wedding,Roy Z,246177,8022764
The Tower,Roy Z,285257,9435693
Killing Floor,Adrian Smith,269557,8854240
Book Of Thel,Eddie Casillas/Roy Z,494393,16034404
Gates Of Urizen,Roy Z,265351,8627004
Jerusalem,Roy Z,402390,13194463
Trupets Of Jericho,Roy Z,359131,11820908
Machine Men,Adrian Smith,341655,11138147
The Alchemist,Roy Z,509413,16545657
Realword,Roy Z,237531,7802095
First Time I Met The Blues,Eurreal Montgomery,140434,4604995
Let Me Love You Baby,Willie Dixon,175386,5716994
Stone Crazy,Buddy Guy,433397,14184984
Pretty Baby,Willie Dixon,237662,7848282
When My Left Eye Jumps,Al Perkins/Willie Dixon,235311,7685363
Leave My Girl Alone,Buddy Guy,204721,6859518
She Suits Me To A Tee,Buddy Guy,136803,4456321
Keep It To Myself (Aka Keep It To Yourself),Sonny Boy Williamson [I],166060,5487056
My Time After Awhile,Robert Geddins/Ron Badger/Sheldon Feinberg,182491,6022698
Too Many Ways (Alternate),Willie Dixon,135053,4459946
Talkin' 'Bout Women Obviously,Amos Blakemore/Buddy Guy,589531,19161377
Jorge Da Capadócia,Jorge Ben,177397,5842196
Prenda Minha,Tradicional,99369,3225364
Meditação,Tom Jobim - Newton Mendoça,148793,4865597
Terra,Caetano Veloso,482429,15889054
Eclipse Oculto,Caetano Veloso,221936,7382703
"Texto ""Verdade Tropical""",Caetano Veloso,84088,2752161
Bem Devagar,Gilberto Gil,133172,4333651
Drão,Gilberto Gil,156264,5065932
Saudosismo,Caetano Veloso,144326,4726981
Carolina,Chico Buarque,181812,5924159
Sozinho,Peninha,190589,6253200
Esse Cara,Caetano Veloso,223111,7217126
Mel,Caetano Veloso - Waly Salomão,294765,9854062
Linha Do Equador,Caetano Veloso - Djavan,299337,10003747
Odara,Caetano Veloso,141270,4704104
A Luz De Tieta,Caetano Veloso,251742,8507446
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu,David Corrêa - Paulinho Carvalho - Carlos Sena - Bira do Ponto,307252,10364247
Vida Boa,Fausto Nilo - Armandinho,281730,9411272
Sozinho (Hitmakers Classic Mix),,436636,14462072
Sozinho (Hitmakers Classic Radio Edit),,195004,6455134
Sozinho (Caêdrum 'n' Bass),,328071,10975007
Carolina,,163056,5375395
Essa Moça Ta Diferente,,167235,5568574
Vai Passar,,369763,12359161
Samba De Orly,,162429,5431854
"Bye, Bye Brasil",,283402,9499590
Atras Da Porta,,189675,6132843
Tatuagem,,172120,5645703
O Que Será (À Flor Da Terra),,167288,5574848
Morena De Angola,,186801,6373932
Apesar De Você,,234501,7886937
A Banda,,132493,4349539
Minha Historia,,182256,6029673
Com Açúcar E Com Afeto,,175386,5846442
Brejo Da Cruz,,214099,7270749
Meu Caro Amigo,,260257,8778172
Geni E O Zepelim,,317570,10342226
Trocando Em Miúdos,,169717,5461468
Vai Trabalhar Vagabundo,,139154,4693941
Gota D'água,,153208,5074189
Construção / Deus Lhe Pague,,383059,12675305
Mateus Enter,Chico Science,33149,1103013
O Cidadão Do Mundo,Chico Science,200933,6724966
Etnia,Chico Science,152555,5061413
Quilombo Groove [Instrumental],Chico Science,151823,5042447
