song_title,composer,milliseconds,bytes
White Room,Bruce/Clapton,301583,9872606
Bell Bottom Blues,Clapton,304744,9946681
Cocaine,Cale/Clapton,215928,7138399
I Shot The Sheriff,Marley,263862,8738973
After Midnight,Clapton/J. J. Cale,191320,6460941
Swing Low Sweet Chariot,Clapton/Trad. Arr. Clapton,208143,6896288
Lay Down Sally,Clapton/Levy,231732,7774207
Knockin On Heavens Door,Clapton/Dylan,264411,8758819
Wonderful Tonight,Clapton,221387,7326923
Let It Grow,Clapton,297064,9742568
Promises,Clapton/F.eldman/Linn,180401,6006154
I Can't Stand It,Clapton,249730,8271980
Signe,Eric Clapton,193515,6475042
Before You Accuse Me,Eugene McDaniel,224339,7456807
Hey Hey,Big Bill Broonzy,196466,6543487
Tears In Heaven,"Eric Clapton, Will Jennings",274729,9032835
Lonely Stranger,Eric Clapton,328724,10894406
Nobody Knows You When You're Down & Out,Jimmy Cox,231836,7669922
Layla,"Eric Clapton, Jim Gordon",285387,9490542
Running On Faith,Jerry Lynn Williams,378984,12536275
Walkin' Blues,Robert Johnson,226429,7435192
Alberta,Traditional,222406,7412975
San Francisco Bay Blues,Jesse Fuller,203363,6724021
Malted Milk,Robert Johnson,216528,7096781
Old Love,"Eric Clapton, Robert Cray",472920,15780747
Rollin' And Tumblin',McKinley Morgenfield (Muddy Waters),251768,8407355
Collision,Jon Hudson/Mike Patton,204303,6656596
Stripsearch,Jon Hudson/Mike Bordin/Mike Patton,270106,8861119
Last Cup Of Sorrow,Bill Gould/Mike Patton,251663,8221247
Naked In Front Of The Computer,Mike Patton,128757,4225077
Helpless,Bill Gould/Mike Bordin/Mike Patton,326217,10753135
Mouth To Mouth,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton,228493,7505887
Ashes To Ashes,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum,217391,7093746
She Loves Me Not,Bill Gould/Mike Bordin/Mike Patton,209867,6887544
Got That Feeling,Mike Patton,140852,4643227
Paths Of Glory,Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum,257253,8436300
Home Sick Home,Mike Patton,119040,3898976
Pristina,Bill Gould/Mike Patton,232698,7497361
Land Of Sunshine,,223921,7353567
Caffeine,,267937,8747367
Midlife Crisis,,263235,8628841
RV,,223242,7288162
Smaller And Smaller,,310831,10180103
Everything's Ruined,,273658,9010917
Malpractice,,241371,7900683
Kindergarten,,270680,8853647
Be Aggressive,,222432,7298027
A Small Victory,,297168,9733572
Crack Hitler,,279144,9162435
Jizzlobber,,398341,12926140
Midnight Cowboy,,251924,8242626
Easy,,185835,6073008
Get Out,"Mike Bordin, Billy Gould, Mike Patton",137482,4524972
Ricochet,"Mike Bordin, Billy Gould, Mike Patton",269400,8808812
Evidence,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",293590,9626136
The Gentle Art Of Making Enemies,"Mike Bordin, Billy Gould, Mike Patton",209319,6908609
Star A.D.,"Mike Bordin, Billy Gould, Mike Patton",203807,6747658
Cuckoo For Caca,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",222902,7388369
Caralho Voador,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",242102,8029054
Ugly In The Morning,"Mike Bordin, Billy Gould, Mike Patton",186435,6224997
Digging The Grave,"Mike Bordin, Billy Gould, Mike Patton",185129,6109259
Take This Bottle,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",298997,9779971
King For A Day,"Mike Bordin, Billy Gould, Mike Patton, Trey Spruance",395859,13163733
What A Day,"Mike Bordin, Billy Gould, Mike Patton",158275,5203430
The Last To Know,"Mike Bordin, Billy Gould, Mike Patton",267833,8736776
Just A Man,"Mike Bordin, Billy Gould, Mike Patton",336666,11031254
Absolute Zero,"Mike Bordin, Billy Gould, Mike Patton",181995,5929427
From Out Of Nowhere,Faith No More,202527,6587802
Epic,Faith No More,294008,9631296
Falling To Pieces,Faith No More,316055,10333123
Surprise! You're Dead!,Faith No More,147226,4823036
Zombie Eaters,Faith No More,360881,11835367
The Real Thing,Faith No More,493635,16233080
Underwater Love,Faith No More,231993,7634387
The Morning After,Faith No More,223764,7355898
Woodpecker From Mars,Faith No More,340532,11174250
War Pigs,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",464770,15267802
Edge Of The World,Faith No More,250357,8235607
Deixa Entrar,,33619,1095012
Falamansa Song,,237165,7921313
Xote Dos Milagres,,269557,8897778
Rindo À Toa,,222066,7365321
Confidência,,222197,7460829
Forró De Tóquio,,169273,5588756
Zeca Violeiro,,143673,4781949
Avisa,,355030,11844320
Principiando/Decolagem,,116767,3923789
Asas,,231915,7711669
Medo De Escuro,,213760,7056323
Oração,,271072,9003882
Minha Gata,,181838,6039502
Desaforo,,174524,5853561
In Your Honor,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",230191,7468463
No Way Back,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",196675,6421400
Best Of You,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",255712,8363467
DOA,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",252186,8232342
Hell,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",117080,3819255
The Last Song,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",199523,6496742
Free Me,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",278700,9109340
Resolve,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",288731,9416186
The Deepest Blues Are Black,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",238419,7735473
End Over End,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",352078,11395296
Still,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",313182,10323157
What If I Do?,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",302994,9929799
Miracle,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",209684,6877994
Another Round,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",265848,8752670
Friend Of A Friend,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",193280,6355088
Over And Out,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",316264,10428382
On The Mend,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",271908,9071997
Virginia Moon,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",229198,7494639
Cold Day In The Sun,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",200724,6596617
Razor,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS",293276,9721373
All My Life,Foo Fighters,263653,8665545
Low,Foo Fighters,268120,8847196
Have It All,Foo Fighters,298057,9729292
Times Like These,Foo Fighters,266370,8624691
Disenchanted Lullaby,Foo Fighters,273528,8919111
Tired Of You,Foo Fighters,311353,10094743
Halo,Foo Fighters,306442,10026371
Lonely As You,Foo Fighters,277185,9022628
Overdrive,Foo Fighters,270550,8793187
Burn Away,Foo Fighters,298396,9678073
Come Back,Foo Fighters,469968,15371980
Doll,"Dave, Taylor, Nate, Chris",83487,2702572
Monkey Wrench,"Dave, Taylor, Nate, Chris",231523,7527531
"Hey, Johnny Park!","Dave, Taylor, Nate, Chris",248528,8079480
My Poor Brain,"Dave, Taylor, Nate, Chris",213446,6973746
Wind Up,"Dave, Taylor, Nate, Chris",152163,4950667
Up In Arms,"Dave, Taylor, Nate, Chris",135732,4406227
My Hero,"Dave, Taylor, Nate, Chris",260101,8472365
See You,"Dave, Taylor, Nate, Chris",146782,4888173
Enough Space,Dave Grohl,157387,5169280
February Stars,"Dave, Taylor, Nate, Chris",289306,9344875
Everlong,Dave Grohl,250749,8270816
Walking After You,Dave Grohl,303856,9898992
New Way Home,"Dave, Taylor, Nate, Chris",342230,11205664
My Way,claude françois/gilles thibault/jacques revaux/paul anka,275879,8928684
Strangers In The Night,berthold kaempfert/charles singleton/eddie snyder,155794,5055295
"New York, New York",fred ebb/john kander,206001,6707993
I Get A Kick Out Of You,cole porter,194429,6332441
Something Stupid,carson c. parks,158615,5210643
Moon River,henry mancini/johnny mercer,198922,6395808
What Now My Love,carl sigman/gilbert becaud/pierre leroyer,149995,4913383
Summer Love,hans bradtke/heinz meier/johnny mercer,174994,5693242
For Once In My Life,orlando murden/ronald miller,171154,5557537
Love And Marriage,jimmy van heusen/sammy cahn,89730,2930596
They Can't Take That Away From Me,george gershwin/ira gershwin,161227,5240043
My Kind Of Town,jimmy van heusen/sammy cahn,188499,6119915
Fly Me To The Moon,bart howard,149263,4856954
I've Got You Under My Skin,cole porter,210808,6883787
The Best Is Yet To Come,carolyn leigh/cy coleman,173583,5633730
It Was A Very Good Year,ervin drake,266605,8554066
Come Fly With Me,jimmy van heusen/sammy cahn,190458,6231029
That's Life,dean kay thompson/kelly gordon,187010,6095727
The Girl From Ipanema,antonio carlos jobim/norman gimbel/vinicius de moraes,193750,6410674
The Lady Is A Tramp,lorenz hart/richard rodgers,184111,5987372
"Bad, Bad Leroy Brown",jim croce,169900,5548581
Mack The Knife,bert brecht/kurt weill/marc blitzstein,292075,9541052
Loves Been Good To Me,rod mckuen,203964,6645365
L.A. Is My Lady,alan bergman/marilyn bergman/peggy lipton jones/quincy jones,193175,6378511
Entrando Na Sua (Intro),,179252,5840027
Nervosa,,229537,7680421
Funk De Bamba (Com Fernanda Abreu),,237191,7866165
Call Me At Cleo´s,,236617,7920510
Olhos Coloridos (Com Sandra De Sá),,321332,10567404
Zambação,,301113,10030604
Funk Hum,,244453,8084475
Forty Days (Com DJ Hum),,221727,7347172
Balada Da Paula,Emerson Villani,322821,10603717
Dujji,,324597,10833935
Meu Guarda-Chuva,,248528,8216625
Motéis,,213498,7041077
Whistle Stop,,526132,17533664
16 Toneladas,,191634,6390885
Divirta-Se (Saindo Da Sua),,74919,2439206
Forty Days Instrumental,,292493,9584317
Óia Eu Aqui De Novo,,219454,7469735
Baião Da Penha,,247928,8393047
Esperando Na Janela,Manuca/Raimundinho DoAcordion/Targino Godim,261041,8660617
Juazeiro,Humberto Teixeira/Luiz Gonzaga,222275,7349779
Último Pau-De-Arara,Corumbá/José Gumarães/Venancio,200437,6638563
Asa Branca,Humberto Teixeira/Luiz Gonzaga,217051,7387183
Qui Nem Jiló,Humberto Teixeira/Luiz Gonzaga,204695,6937472
Assum Preto,Humberto Teixeira/Luiz Gonzaga,199653,6625000
Pau-De-Arara,"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga",191660,6340649
A Volta Da Asa Branca,Luiz Gonzaga/Zé Dantas,271020,9098093
O Amor Daqui De Casa,Gilberto Gil,148636,4888292
As Pegadas Do Amor,Gilberto Gil,209136,6899062
Lamento Sertanejo,Dominguinhos/Gilberto Gil,260963,8518290
Casinha Feliz,Gilberto Gil,32287,1039615
Introdução (Live),,154096,5227579
Palco (Live),,238315,8026622
Is This Love (Live),,295262,9819759
Stir It Up (Live),,282409,9594738
Refavela (Live),,236695,7985305
Vendedor De Caranguejo (Live),,248842,8358128
Quanta (Live),,357485,11774865
Estrela (Live),,285309,9436411
Pela Internet (Live),,263471,8804401
Cérebro Eletrônico (Live),,231627,7805352
Opachorô (Live),,259526,8596384
Copacabana (Live),,289671,9673672
A Novidade (Live),,316969,10508000
Ghandi (Live),,222458,7481950
De Ouro E Marfim (Live),,234971,7838453
Doce De Carnaval (Candy All),,356101,11998470
Lamento De Carnaval,,294530,9819276
Pretinha,,265273,8914579
A Novidade,Gilberto Gil,324780,10765600
Tenho Sede,Gilberto Gil,261616,8708114
Refazenda,Gilberto Gil,218305,7237784
Realce,Gilberto Gil,264489,8847612
Esotérico,Gilberto Gil,317779,10530533
Drão,Gilberto Gil,301453,9931950
A Paz,Gilberto Gil,293093,9593064
Beira Mar,Gilberto Gil,295444,9597994
Sampa,Gilberto Gil,225697,7469905
Parabolicamará,Gilberto Gil,284943,9543435
Tempo Rei,Gilberto Gil,302733,10019269
Expresso 2222,Gilberto Gil,284760,9690577
Aquele Abraço,Gilberto Gil,263993,8805003
Palco,Gilberto Gil,270550,9049901
Toda Menina Baiana,Gilberto Gil,278177,9351000
Sítio Do Pica-Pau Amarelo,Gilberto Gil,218070,7217955
Straight Out Of Line,Sully Erna,259213,8511877
Faceless,Sully Erna,216006,6992417
Changes,Sully Erna; Tony Rombola,260022,8455835
Make Me Believe,Sully Erna,248607,8075050
I Stand Alone,Sully Erna,246125,8017041
Re-Align,Sully Erna,260884,8513891
I Fucking Hate You,Sully Erna,247170,8059642
Releasing The Demons,Sully Erna,252760,8276372
Dead And Broken,Sully Erna,251454,8206611
I Am,Sully Erna,239516,7803270
The Awakening,Sully Erna,89547,3035251
Serenity,Sully Erna; Tony Rombola,274834,9172976
American Idiot,"Billie Joe Armstrong, Mike Dirnt, Tré Cool",174419,5705793
Jesus Of Suburbia / City Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home,Billie Joe Armstrong/Green Day,548336,17875209
Holiday,"Billie Joe Armstrong, Mike Dirnt, Tré Cool",232724,7599602
Boulevard Of Broken Dreams,"Mike Dint, Billie Joe, Tré Cool",260858,8485122
Are We The Waiting,Green Day,163004,5328329
St. Jimmy,Green Day,175307,5716589
Give Me Novacaine,Green Day,205871,6752485
She's A Rebel,Green Day,120528,3901226
Extraordinary Girl,Green Day,214021,6975177
Letterbomb,Green Day,246151,7980902
Wake Me Up When September Ends,"Mike Dint, Billie Joe, Tré Cool",285753,9325597
Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again,Mike Dirnt/Tré Cool,558602,18139840
Whatsername,Green Day,252316,8244843
Welcome to the Jungle,,273552,4538451
It's So Easy,,202824,3394019
Nightrain,,268537,4457283
Out Ta Get Me,,263893,4382147
Mr. Brownstone,,228924,3816323
Paradise City,,406347,6687123
My Michelle,,219961,3671299
Think About You,,231640,3860275
Sweet Child O' Mine,,356424,5879347
You're Crazy,,197135,3301971
Anything Goes,,206400,3451891
Rocket Queen,,375349,6185539
Right Next Door to Hell,,182321,3175950
Dust N' Bones,,298374,5053742
Live and Let Die,,184016,3203390
Don't Cry (Original),,284744,4833259
Perfect Crime,,143637,2550030
You Ain't the First,,156268,2754414
Bad Obsession,,328282,5537678
Back off Bitch,,303436,5135662
Double Talkin' Jive,,203637,3520862
November Rain,,537540,8923566
The Garden,,322175,5438862
Garden of Eden,,161539,2839694
Don't Damn Me,,318901,5385886
Bad Apples,,268351,4567966
Dead Horse,,257600,4394014
Coma,,616511,10201342
Civil War,Duff McKagan/Slash/W. Axl Rose,461165,15046579
14 Years,Izzy Stradlin'/W. Axl Rose,261355,8543664
Yesterdays,Billy/Del James/W. Axl Rose/West Arkeen,196205,6398489
Knockin' On Heaven's Door,Bob Dylan,336457,10986716
Get In The Ring,Duff McKagan/Slash/W. Axl Rose,341054,11134105
Shotgun Blues,W. Axl Rose,203206,6623916
Breakdown,W. Axl Rose,424960,13978284
Pretty Tied Up,Izzy Stradlin',287477,9408754
Locomotive,Slash/W. Axl Rose,522396,17236842
So Fine,Duff McKagan,246491,8039484
Estranged,W. Axl Rose,563800,18343787
You Could Be Mine,Izzy Stradlin'/W. Axl Rose,343875,11207355
Don't Cry,Izzy Stradlin'/W. Axl Rose,284238,9222458
My World,W. Axl Rose,84532,2764045
Colibri,Richard Bull,361012,12055329
Love Is The Colour,R. Carless,251585,8419165
Magnetic Ocean,Patrick Claher/Richard Bull,321123,10720741
Deep Waters,Richard Bull,396460,13075359
L'Arc En Ciel De Miles,Kevin Robinson/Richard Bull,242390,8053997
Gypsy,Kevin Robinson,330997,11083374
Journey Into Sunlight,Jean Paul Maunick,249756,8241177
Sunchild,Graham Harvey,259970,8593143
Millenium,Maxton Gig Beesley Jnr.,379167,12511939
Thinking 'Bout Tomorrow,Fayyaz Virgi/Richard Bull,355395,11865384
Jacob's Ladder,Julian Crampton,367647,12201595
She Wears Black,G Harvey/R Hope-Taylor,528666,17617944
Dark Side Of The Cog,Jean Paul Maunick,377155,12491122
Different World,,258692,4383764
These Colours Don't Run,,412152,6883500
Brighter Than a Thousand Suns,,526255,8721490
The Pilgrim,,307593,5172144
The Longest Day,,467810,7785748
Out of the Shadows,,336896,5647303
The Reincarnation of Benjamin Breeg,,442106,7367736
For the Greater Good of God,,564893,9367328
Lord of Light,,444614,7393698
The Legacy,,562966,9314287
Hallowed Be Thy Name (Live) [Non Album Bonus Track],,431262,7205816
The Number Of The Beast,Steve Harris,294635,4718897
The Trooper,Steve Harris,235311,3766272
Prowler,Steve Harris,255634,4091904
Transylvania,Steve Harris,265874,4255744
Remember Tomorrow,Paul Di'Anno/Steve Harris,352731,5648438
Where Eagles Dare,Steve Harris,289358,4630528
Sanctuary,David Murray/Paul Di'Anno/Steve Harris,293250,4694016
Running Free,Paul Di'Anno/Steve Harris,228937,3663872
Run To The Hilss,Steve Harris,237557,3803136
2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,337423,5400576
Iron Maiden,Steve Harris,324623,5195776
Hallowed Be Thy Name,Steve Harris,471849,7550976
Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,196911,3151872
From Here To Eternity,Steve Harris,259866,4159488
Can I Play With Madness,Adrian Smith/Bruce Dickinson/Steve Harris,282488,4521984
Wasting Love,Bruce Dickinson/Janick Gers,347846,5566464
Tailgunner,Bruce Dickinson/Steve Harris,249469,3993600
The Evil That Men Do,Adrian Smith/Bruce Dickinson/Steve Harris,325929,5216256
Afraid To Shoot Strangers,Steve Harris,407980,6529024
Bring Your Daughter... To The Slaughter,Bruce Dickinson,317727,5085184
Heaven Can Wait,Steve Harris,448574,7178240
The Clairvoyant,Steve Harris,269871,4319232
Fear Of The Dark,Steve Harris,431333,6906078
The Wicker Man,Adrian Smith/Bruce Dickinson/Steve Harris,275539,11022464
Ghost Of The Navigator,Bruce Dickinson/Janick Gers/Steve Harris,410070,16404608
Brave New World,Bruce Dickinson/David Murray/Steve Harris,378984,15161472
Blood Brothers,Steve Harris,434442,17379456
The Mercenary,Janick Gers/Steve Harris,282488,11300992
Dream Of Mirrors,Janick Gers/Steve Harris,561162,22448256
The Fallen Angel,Adrian Smith/Steve Harris,240718,9629824
The Nomad,David Murray/Steve Harris,546115,21846144
Out Of The Silent Planet,Bruce Dickinson/Janick Gers/Steve Harris,385541,15423616
The Thin Line Between Love & Hate,David Murray/Steve Harris,506801,20273280
Wildest Dreams,Adrian Smith/Steve Harris,232777,9312384
Rainmaker,Bruce Dickinson/David Murray/Steve Harris,228623,9146496
No More Lies,Steve Harris,441782,17672320
Montsegur,Bruce Dickinson/Janick Gers/Steve Harris,350484,14020736
Dance Of Death,Janick Gers/Steve Harris,516649,20670727
Gates Of Tomorrow,Bruce Dickinson/Janick Gers/Steve Harris,312032,12482688
New Frontier,Adrian Smith/Bruce Dickinson/Nicko McBrain,304509,12181632
Paschendale,Adrian Smith/Steve Harris,508107,20326528
Face In The Sand,Adrian Smith/Bruce Dickinson/Steve Harris,391105,15648948
Age Of Innocence,David Murray/Steve Harris,370468,14823478
Journeyman,Bruce Dickinson/David Murray/Steve Harris,427023,17082496
Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,204512,8181888
From Here To Eternity,Steve Harris,218357,8739038
Afraid To Shoot Strangers,Steve Harris,416496,16664589
Fear Is The Key,Bruce Dickinson/Janick Gers,335307,13414528
Childhood's End,Steve Harris,280607,11225216
Wasting Love,Bruce Dickinson/Janick Gers,350981,14041216
The Fugitive,Steve Harris,294112,11765888
Chains Of Misery,Bruce Dickinson/David Murray,217443,8700032
The Apparition,Janick Gers/Steve Harris,234605,9386112
Judas Be My Guide,Bruce Dickinson/David Murray,188786,7553152
Weekend Warrior,Janick Gers/Steve Harris,339748,13594678
Fear Of The Dark,Steve Harris,436976,17483789
01 - Prowler,Steve Harris,236173,5668992
02 - Sanctuary,David Murray/Paul Di'Anno/Steve Harris,196284,4712576
03 - Remember Tomorrow,Harris/Paul Di´Anno,328620,7889024
04 - Running Free,Harris/Paul Di´Anno,197276,4739122
05 - Phantom of the Opera,Steve Harris,428016,10276872
06 - Transylvania,Steve Harris,259343,6226048
07 - Strange World,Steve Harris,332460,7981184
08 - Charlotte the Harlot,Murray  Dave,252708,6066304
09 - Iron Maiden,Steve Harris,216058,5189891
The Ides Of March,Steve Harris,105926,2543744
Wrathchild,Steve Harris,174471,4188288
Murders In The Rue Morgue,Steve Harris,258377,6205786
Another Life,Steve Harris,203049,4874368
Genghis Khan,Steve Harris,187141,4493440
Innocent Exile,Di´Anno/Harris,232515,5584861
Killers,Steve Harris,300956,7227440
Prodigal Son,Steve Harris,372349,8937600
Purgatory,Steve Harris,200150,4804736
Drifter,Steve Harris,288757,6934660
Intro- Churchill S Speech,,48013,1154488
Aces High,,276375,6635187
2 Minutes To Midnight,Smith/Dickinson,366550,8799380
The Trooper,Harris,268878,6455255
Revelations,Dickinson,371826,8926021
Flight Of Icarus,Smith/Dickinson,229982,5521744
Rime Of The Ancient Mariner,,789472,18949518
Powerslave,,454974,10921567
The Number Of The Beast,Harris,275121,6605094
Hallowed Be Thy Name,Harris,451422,10836304
Iron Maiden,Harris,261955,6289117
Run To The Hills,Harris,231627,5561241
Running Free,Harris/Di Anno,204617,4912986
Wrathchild,Steve Harris,183666,4410181
Acacia Avenue,,379872,9119118
Children Of The Damned,Steve Harris,278177,6678446
Die With Your Boots On,Adrian Smith/Bruce Dickinson/Steve Harris,314174,7542367
Phantom Of The Opera,Steve Harris,441155,10589917
Be Quick Or Be Dead,,233142,5599853
The Number Of The Beast,,294008,7060625
Wrathchild,,174106,4182963
From Here To Eternity,,284447,6831163
Can I Play With Madness,,213106,5118995
Wasting Love,,336953,8091301
Tailgunner,,247640,5947795
The Evil That Men Do,,478145,11479913
Afraid To Shoot Strangers,,412525,9905048
Fear Of The Dark,,431542,10361452
Bring Your Daughter... To The Slaughter...,,376711,9045532
The Clairvoyant,,262426,6302648
Heaven Can Wait,,440555,10577743
Run To The Hills,,235859,5665052
2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,338233,8122030
Iron Maiden,,494602,11874875
Hallowed Be Thy Name,,447791,10751410
The Trooper,,232672,5588560
Sanctuary,,318511,7648679
Running Free,,474017,11380851
Tailgunner,Bruce Dickinson/Steve Harris,255582,4089856
Holy Smoke,Bruce Dickinson/Steve Harris,229459,3672064
No Prayer For The Dying,Steve Harris,263941,4225024
Public Enema Number One,Bruce Dickinson/David Murray,254197,4071587
Fates Warning,David Murray/Steve Harris,250853,4018088
The Assassin,Steve Harris,258768,4141056
Run Silent Run Deep,Bruce Dickinson/Steve Harris,275408,4407296
Hooks In You,Adrian Smith/Bruce Dickinson,247510,3960832
Bring Your Daughter... ...To The Slaughter,Bruce Dickinson,284238,4548608
Mother Russia,Steve Harris,332617,5322752
Where Eagles Dare,Steve Harris,369554,5914624
Revelations,Bruce Dickinson,408607,6539264
Flight Of The Icarus,Adrian Smith/Bruce Dickinson,230269,3686400
Die With Your Boots On,Adrian Smith/Bruce Dickinson/Steve Harris,325694,5212160
The Trooper,Steve Harris,251454,4024320
Still Life,David Murray/Steve Harris,294347,4710400
Quest For Fire,Steve Harris,221309,3543040
Sun And Steel,Adrian Smith/Bruce Dickinson,206367,3306324
To Tame A Land,Steve Harris,445283,7129264
Aces High,Harris,269531,6472088
2 Minutes To Midnight,Smith/Dickinson,359810,8638809
Losfer Words,Steve Harris,252891,6074756
Flash of The Blade,Dickinson,242729,5828861
Duelists,Steve Harris,366471,8800686
Back in the Village,Dickinson/Smith,320548,7696518
Powerslave,Dickinson,407823,9791106
Rime of the Ancient Mariner,Harris,816509,19599577
Intro,,115931,4638848
The Wicker Man,Adrian Smith/Bruce Dickinson/Steve Harris,281782,11272320
Ghost Of The Navigator,Bruce Dickinson/Janick Gers/Steve Harris,408607,16345216
Brave New World,Bruce Dickinson/David Murray/Steve Harris,366785,14676148
Wrathchild,Steve Harris,185808,7434368
2 Minutes To Midnight,Adrian Smith/Bruce Dickinson,386821,15474816
Blood Brothers,Steve Harris,435513,17422464
Sign Of The Cross,Steve Harris,649116,25966720
The Mercenary,Janick Gers/Steve Harris,282697,11309184
The Trooper,Steve Harris,273528,10942592
Dream Of Mirrors,Janick Gers/Steve Harris,578324,23134336
The Clansman,Steve Harris,559203,22370432
The Evil That Men Do,Adrian Smith/Bruce Dickinson/Steve Harris,280737,11231360
Fear Of The Dark,Steve Harris,460695,18430080
Iron Maiden,Steve Harris,351869,14076032
The Number Of The Beast,Steve Harris,300434,12022107
Hallowed Be Thy Name,Steve Harris,443977,17760384
Sanctuary,David Murray/Paul Di'Anno/Steve Harris,317335,12695680
Run To The Hills,Steve Harris,292179,11688064
Moonchild,Adrian Smith; Bruce Dickinson,340767,8179151
Infinite Dreams,Steve Harris,369005,8858669
Can I Play With Madness,Adrian Smith; Bruce Dickinson; Steve Harris,211043,5067867
The Evil That Men Do,Adrian Smith; Bruce Dickinson; Steve Harris,273998,6578930
Seventh Son of a Seventh Son,Steve Harris,593580,14249000
The Prophecy,Dave Murray; Steve Harris,305475,7334450
The Clairvoyant,Adrian Smith; Bruce Dickinson; Steve Harris,267023,6411510
Only the Good Die Young,Bruce Dickinson; Harris,280894,6744431
Caught Somewhere in Time,Steve Harris,445779,10701149
Wasted Years,Adrian Smith,307565,7384358
Sea of Madness,Adrian Smith,341995,8210695
Heaven Can Wait,Steve Harris,441417,10596431
Stranger in a Strange Land,Adrian Smith,344502,8270899
Alexander the Great,Steve Harris,515631,12377742
De Ja Vu,David Murray/Steve Harris,296176,7113035
The Loneliness of the Long Dis,Steve Harris,391314,9393598
22 Acacia Avenue,Adrian Smith/Steve Harris,395572,5542516
Children of the Damned,Steve Harris,274364,3845631
Gangland,Adrian Smith/Clive Burr/Steve Harris,228440,3202866
Hallowed Be Thy Name,Steve Harris,428669,6006107
Invaders,Steve Harris,203180,2849181
Run to the Hills,Steve Harris,228884,3209124
The Number Of The Beast,Steve Harris,293407,11737216
The Prisoner,Adrian Smith/Steve Harris,361299,5062906
Sign Of The Cross,Steve Harris,678008,27121792
Lord Of The Flies,Janick Gers/Steve Harris,303699,12148864
Man On The Edge,Blaze Bayley/Janick Gers,253413,10137728
Fortunes Of War,Steve Harris,443977,17760384
Look For The Truth,Blaze Bayley/Janick Gers/Steve Harris,310230,12411008
The Aftermath,Blaze Bayley/Janick Gers/Steve Harris,380786,15233152
Judgement Of Heaven,Steve Harris,312476,12501120
Blood On The World's Hands,Steve Harris,357799,14313600
The Edge Of Darkness,Blaze Bayley/Janick Gers/Steve Harris,399333,15974528
2 A.M.,Blaze Bayley/Janick Gers/Steve Harris,337658,13511087
The Unbeliever,Janick Gers/Steve Harris,490422,19617920
Futureal,Blaze Bayley/Steve Harris,175777,7032960
The Angel And The Gambler,Steve Harris,592744,23711872
Lightning Strikes Twice,David Murray/Steve Harris,290377,11616384
The Clansman,Steve Harris,539689,21592327
When Two Worlds Collide,Blaze Bayley/David Murray/Steve Harris,377312,15093888
The Educated Fool,Steve Harris,404767,16191616
Don't Look To The Eyes Of A Stranger,Steve Harris,483657,19347584
Como Estais Amigos,Blaze Bayley/Janick Gers,330292,13213824
Please Please Please,James Brown/Johnny Terry,165067,5394585
Think,Lowman Pauling,166739,5513208
Night Train,Jimmy Forrest/Lewis C. Simpkins/Oscar Washington,212401,7027377
Out Of Sight,Ted Wright,143725,4711323
