awardYear,category,prizeAmount,prizeAmountAdjusted,name,gender,birth_continent
1964,Chemistry,273000,2828039,Dorothy Crowfoot Hodgkin,female,Africa
1996,Physics,7400000,9490424,Douglas D. Osheroff,male,North America
1993,Economic Sciences,6700000,9044276,Douglass C. North,male,North America
1986,Chemistry,2000000,4098361,Dudley R. Herschbach,male,North America
1990,Physiology or Medicine,4000000,6329114,E. Donnall Thomas,male,North America
1952,Physics,171135,2546652,E. M. Purcell,male,North America
1971,Physiology or Medicine,450000,3321850,"Earl W. Sutherland, Jr.",male,North America
1932,Physiology or Medicine,171753,5279293,Edgar Adrian,male,Europe
1992,Physiology or Medicine,6500000,9184250,Edmond H. Fischer,male,Asia
2006,Economic Sciences,10000000,11552680,Edmund S. Phelps,male,North America
1907,Chemistry,138796,7033581,Eduard Buchner,male,Europe
2014,Physiology or Medicine,8000000,8379888,Edvard I. Moser,male,Europe
1943,Physiology or Medicine,123691,2520876,Edward A. Doisy,male,North America
1995,Physiology or Medicine,7200000,9278351,Edward B. Lewis,male,North America
1950,Physiology or Medicine,164304,3050198,Edward C. Kendall,male,North America
2004,Economic Sciences,10000000,11762861,Edward C. Prescott,male,North America
1958,Physiology or Medicine,214559,2646698,Edward Tatum,male,North America
1947,Physics,146115,2914528,Edward V. Appleton,male,Europe
1992,Physiology or Medicine,6500000,9184250,Edwin G. Krebs,male,North America
1951,Chemistry,167612,2686090,Edwin M. McMillan,male,North America
1949,Physiology or Medicine,156290,2930438,Egas Moniz,male,Europe
2010,Chemistry,10000000,10819388,Ei-ichi Negishi,male,Asia
1974,Peace,550000,3263449,Eisaku Sato,male,Asia
2004,Literature,10000000,11762861,Elfriede Jelinek,female,Europe
1981,Literature,1000000,2929688,Elias Canetti,male,Europe
1990,Chemistry,4000000,6329114,Elias James Corey,male,North America
1902,Peace,141847,8059489,Élie Ducommun,male,Europe
1986,Peace,2000000,4098361,Elie Wiesel,male,Europe
1912,Peace,140476,6753654,Elihu Root,male,North America
2009,Economic Sciences,10000000,10958504,Elinor Ostrom,female,North America
2009,Physiology or Medicine,10000000,10958504,Elizabeth H. Blackburn,female,Oceania
2011,Peace,10000000,10545557,Ellen Johnson Sirleaf,female,Africa
1902,Chemistry,141847,8059489,Emil Fischer,male,Europe
